teamId,teamName,gender,weapon,lowWinPct,mediumWinPct,highWinPct,lowStrength,mediumStrength,highStrength,lowScore,mediumScore,highScore,prc,spi
49,Boston College,Men,Team,0.8333,0.8333,0.5455,30.5,41,60,25.4167,34.1667,32.7273,4.5,96.8106
90,Wheaton College (Massachusetts),Men,Team,0.6,0.0526,0,31.2,40.6316,56,18.72,0,0,2,20.72
15,Boston College,Women,Team,0.9,0.7857,0.3,24.6,41.4286,65,22.14,32.551,19.5,4,78.191
91,Wheaton College (Massachusetts),Women,Team,0.2143,0.125,0,31.2857,41.5,58.3333,6.7041,5.1875,0,0.5,12.3916
82,Brandeis University,Women,Team,0.8889,0.2857,0,27.3333,41.1429,65,24.2963,11.7551,0,3,39.0514
40,Wellesley College,Women,Team,0.9565,0.5,0.3333,25.3043,40.6667,57.1429,24.2042,20.3333,19.0476,3.5,67.0851
2,Brown University,Women,Team,0.9167,0.9,0.5,28.25,39.6,60,25.8958,35.64,30,4,95.5358
7,Vassar College,Women,Team,0.9231,0.1429,0,27.9231,41.7143,63.75,25.7751,0,0,2.5,28.2751
85,Massachusetts Institute of Technology,Women,Team,0.9,0.6,0,27.9,40.4,63.3333,25.11,24.24,0,3.5,52.85
35,Sacred Heart University,Women,Team,0.6,0.1,0,27.9,41.2,58.8889,16.74,0,0,1.5,18.24
64,Massachusetts Institute of Technology,Men,Team,0.8,0.7778,0.4444,30,40.4444,58.5714,24,31.4568,26.0317,3.5,84.9885
24,Sacred Heart University,Men,Team,0.8571,0.6667,0.1111,30.8571,40,55.7143,26.449,26.6667,6.1905,3.5,62.8061
50,Brandeis University,Men,Team,0.8,0.5,0.1111,30,40.8571,59.375,24,20.4286,6.5972,4,55.0258
20,Vassar College,Men,Team,0.6667,0.3,0,29.3333,41.6,61.4286,19.5556,12.48,0,2.5,34.5356
63,Long Island University,Men,Team,0.8333,0.3636,0,31.5,40,56,26.25,14.5455,0,3.5,44.2955
30,New York University,Men,Team,0.9091,0.9091,0.2308,30.75,42.1818,60,27.9545,38.3471,13.8462,4.5,84.6478
89,Wagner College,Men,Team,0.875,0.5833,0,29.625,40.6667,58.3333,25.9219,23.7222,0,3,52.6441
84,Long Island University,Women,Team,0.4,0.1429,0,28.2,40.5714,65,11.28,0,0,2,13.28
5,New York University,Women,Team,0.8889,0.5,0.1,31.3333,41.6667,67.5,27.8519,20.8333,6.75,4.5,59.9352
14,Wagner College,Women,Team,0.9,0.4545,0,31.2,41.4545,65.3846,28.08,18.843,0,3,49.923
65,New Jersey Institute of Technology,Men,Team,0.8333,0.6875,0,31.5,41,60,26.25,28.1875,0,3.5,57.9375
86,New Jersey Institute of Technology,Women,Team,0.6667,0.1429,0,26.8,41.4286,67.7778,17.8667,5.9184,0,2,25.785
27,Temple University,Women,Team,0.8889,0.8667,0.3889,27.3333,40.2667,63.75,24.2963,34.8978,24.7917,3.5,87.4857
9,Johns Hopkins University,Women,Team,0.9231,0.7778,0.3,29.0769,40.8889,65,26.8402,31.8025,19.5,3.5,81.6427
60,Johns Hopkins University,Men,Team,0.8333,0.8182,0.0769,31.5,40,60,26.25,32.7273,4.6154,3.5,67.0927
62,Lafayette College,Men,Team,0.7143,0.1538,0,29.1429,40.9231,53.3333,20.8163,6.2959,0,2,29.1122
29,Lafayette College,Women,Team,0.3333,0.1111,0,28.8,41.7778,64,9.6,0,0,1,10.6
28,University of Pennsylvania,Men,Team,0.875,0.875,0.6316,30.75,40.5,60,26.9063,35.4375,37.8947,4.5,104.7385
23,St. John's University (New York),Men,Team,0.8889,0.8889,0.6,30.75,41.3333,63.0769,27.3333,36.7407,37.8462,4.5,106.4202
3,University of Pennsylvania,Women,Team,0.875,0.8,0.3529,30.375,42,66.6667,26.5781,33.6,23.5294,5,88.7075
81,Stevens Institute of Technology,Men,Team,0.8,0.3,0,31.2,40.4,63.3333,24.96,12.12,0,3,40.08
25,Princeton University,Men,Team,0.8,0.8,0.4667,30,40,61.5385,24,32,28.7179,5.5,90.2179
17,St. John's University (New York),Women,Team,0.7778,0.7778,0.2,30.75,41.3333,71.5385,23.9167,32.1481,14.3077,3.5,73.8725
44,Pennsylvania State University,Women,Team,0.8889,0.4167,0,31,41.6667,67.2222,27.5556,17.3611,0,4,48.9167
26,Pennsylvania State University,Men,Team,0.9167,0.9167,0.1364,31.2,41,59.5,28.6,37.5833,8.1136,4.5,78.797
45,Princeton University,Women,Team,0.8333,0.8333,0.4615,30.75,40.6667,72.7273,25.625,33.8889,33.5664,6.5,99.5803
87,"University of North Carolina, Chapel Hill",Women,Team,0.8571,0.8,0.5833,31.2857,40.8,68,26.8163,32.64,39.6667,4,103.123
6,Duke University,Women,Team,0.8571,0.8333,0.5833,30.4286,40.6667,71,26.0816,33.8889,41.4167,4.5,105.8872
37,U.S. Air Force Academy,Women,Team,0.8571,0.5333,0,27,39.7333,67.1429,23.1429,21.1911,0,3,47.334
18,University of Notre Dame,Women,Team,0.875,0.875,0.8235,30,41,69.3333,26.25,35.875,57.098,6,125.223
66,"University of North Carolina, Chapel Hill",Men,Team,0.8889,0.8889,0.6,30,38.6667,57.6923,26.6667,34.3704,34.6154,4.5,100.1524
48,U.S. Air Force Academy,Men,Team,0.8182,0.8182,0.381,31.2,41.8182,60.5263,25.5273,34.2149,23.0576,4,86.7998
67,University of Notre Dame,Men,Team,0.8333,0.8333,0.7895,30,42.6667,60.5882,25,35.5556,47.8328,5.5,113.8884
57,Duke University,Men,Team,0.8333,0.8333,0.5,30.75,41.3333,60.8333,25.625,34.4444,30.4167,4,94.4861
88,Yeshiva University,Women,Team,0.1818,0.1429,0,30.5455,39.4286,70,0,0,0,1,1
32,Columbia University-Barnard College,Women,Team,0.9091,0.9091,0.7273,31.2,40.3636,71.1111,28.3636,36.6942,51.7172,6,122.775
41,Yeshiva University,Men,Team,0.4,0.1429,0,31.2,38.2857,50,0,0,0,1,1
52,Columbia University-Barnard College,Men,Team,0.875,0.875,0.7143,30,41,60,26.25,35.875,42.8571,5,109.9821
36,Lawrence University,Women,Team,0.6667,0.2727,0,25.5,40,56.6667,17,10.9091,0,2.5,30.4091
75,Stanford University,Women,Team,0.8462,0.8462,0.2,31.2,39.3846,70,26.4,33.3254,14,4,77.7254
39,University of Detroit Mercy,Women,Team,0.2,0.1818,0,28.5,40.3636,60,5.7,7.3388,0,2.5,15.5388
76,"University of California, San Diego",Women,Team,0.875,0.8,0.1538,30,40,67.2727,26.25,32,10.3497,4.5,73.0997
8,Cleveland State University,Women,Team,0.5556,0.0909,0,28,40.7273,58.5714,15.5556,0,0,2,17.5556
80,University of the Incarnate Word,Women,Team,0.5,0.0833,0,30.75,40,66,0,0,0,2.5,2.5
4,The Ohio State University,Women,Team,0.8571,0.8125,0.3636,27,39.25,73.5,23.1429,31.8906,26.7273,4.5,86.2608
22,Stanford University,Men,Team,0.8333,0.8333,0.5,31.2,41.3333,57,26,34.4444,28.5,3.5,92.4444
53,University of Detroit Mercy,Men,Team,0.75,0.0833,0,30.75,41.3333,52.5,23.0625,0,0,2,25.0625
21,"University of California, San Diego",Men,Team,0.8571,0.6667,0.2308,31.7143,42.3333,59.0909,27.1837,28.2222,13.6364,4,73.0423
51,Cleveland State University,Men,Team,0.8,0.1818,0,31.2,41.4545,55,24.96,7.5372,0,2.5,34.9972
